model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
rung2ad_recipe,camera,1.0,24841.xml,32.12,32.12,1.0,Failed - Agent got blocked,Town01,7,430.1,1380,42.8,0.896
rung2ad_recipe,camera,1.0,25300.xml,100.0,100,1.0,Completed,Town04,19,158.0,393,150.2,0.026
rung2ad_recipe,camera,1.0,25439.xml,82.059654,100,0.820597,Completed,Town15,19,154.1,406,133.8,0.052
rung2ad_recipe,camera,1.0,25845.xml,25.734,42.89,0.6,Failed - TickRuntime,Town15,8,1195.1,3999,46.6,0.968
rung2ad_recipe,camera,1.0,25854.xml,4.756227,8.77,0.542329,Failed - TickRuntime,Town03,3,1271.9,3999,15.3,0.984
rung2ad_recipe,camera,1.0,25857.xml,23.01,38.35,0.6,Failed - TickRuntime,Town05,7,1216.0,3999,51.4,0.963
rung2ad_recipe,camera,1.0,25928.xml,85.010747,100,0.850107,Completed,Town11,19,179.3,473,101.4,0.28
rung2ad_recipe,camera,1.0,25951.xml,100.0,100,1.0,Completed,Town04,20,128.4,302,134.5,0.033
rung2ad_recipe,camera,1.0,25968.xml,34.11,34.11,1.0,Failed - Agent deviated from the route,Town07,7,229.0,724,47.6,0.765
rung2ad_recipe,camera,1.0,26405.xml,60.0,100,0.6,Completed,Town15,19,159.6,479,136.1,0.243
rung2ad_recipe,camera,1.0,26406.xml,55.458024,100,0.55458,Completed,Town04,22,206.5,593,147.1,0.272
rung2ad_recipe,camera,1.0,26456.xml,4.759615,10.23,0.465261,Failed - Agent got blocked,Town03,4,432.2,1274,15.7,0.951
rung2ad_recipe,camera,1.0,26956.xml,60.0,100,0.6,Completed,Town05,21,145.0,342,73.7,0.249
rung2ad_recipe,camera,1.0,27515.xml,4.399444,100,0.043994,Completed,Town03,24,731.9,2673,86.2,0.768
rung2ad_recipe,camera,1.0,27532.xml,32.96,32.96,1.0,Failed - TickRuntime,Town11,5,857.8,3999,24.1,0.952
rung2ad_recipe,camera,1.0,27582.xml,70.0,100,0.7,Completed,Town11,20,157.2,372,68.7,0.272
rung2ad_recipe,camera,1.0,28035.xml,30.562643,88.41,0.345692,Failed - TickRuntime,Town01,18,1106.0,3999,105.2,0.912
rung2ad_recipe,camera,1.0,28154.xml,25.9285,39.89,0.65,Failed - TickRuntime,Town10HD,8,1184.0,3999,63.8,0.944
