model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
ref0,none,0,25896.xml,100.0,100,1.0,Completed,Town03,20,394.0,1562,132.5,0.693
post31,none,0,25955.xml,100.0,100,1.0,Completed,Town05,20,126.3,384,133.8,0.026
rung2a_recipe,none,0,25955.xml,36.0,100,0.36,Completed,Town05,22,133.9,386,135.0,0.026
rung2ad_recipe,none,0,25955.xml,100.0,100,1.0,Completed,Town05,20,172.2,374,133.9,0.027
rung3_recipe,none,0,25955.xml,12.96,100,0.1296,Completed,Town05,24,345.8,878,132.5,0.261
ref0,none,0,25955.xml,100.0,100,1.0,Completed,Town05,20,286.2,730,135.4,0.225
post31,none,0,25975.xml,37.45,37.45,1.0,Failed - Agent deviated from the route,Town07,7,106.8,152,45.8,0.066
rung2a_recipe,none,0,25975.xml,37.45,37.45,1.0,Failed - Agent deviated from the route,Town07,7,101.9,159,45.9,0.063
rung2ad_recipe,none,0,25975.xml,34.133804,37.45,0.91145,Failed - Agent deviated from the route,Town07,8,180.4,392,46.2,0.586
rung3_recipe,none,0,25975.xml,37.45,37.45,1.0,Failed - Agent deviated from the route,Town07,7,159.7,327,45.8,0.491
ref0,none,0,25975.xml,100.0,100,1.0,Completed,Town07,19,115.1,185,53.1,0.054
post31,none,0,26394.xml,46.13,46.13,1.0,Failed - Agent deviated from the route,Town06,8,115.6,178,56.0,0.056
rung2a_recipe,none,0,26394.xml,46.13,46.13,1.0,Failed - Agent deviated from the route,Town06,8,108.4,172,55.9,0.058
rung2ad_recipe,none,0,26394.xml,46.13,46.13,1.0,Failed - Agent deviated from the route,Town06,8,90.5,113,56.3,0.089
rung3_recipe,none,0,26394.xml,46.13,46.13,1.0,Failed - Agent deviated from the route,Town06,8,104.2,154,56.4,0.065
ref0,none,0,26394.xml,54.52574,100,0.545257,Completed,Town06,21,154.0,326,150.2,0.031
post31,none,0,26418.xml,84.856943,100,0.848569,Completed,Town11,21,170.5,353,132.4,0.028
rung2a_recipe,none,0,26418.xml,90.844892,100,0.908449,Completed,Town11,21,160.5,374,131.8,0.027
rung2ad_recipe,none,0,26418.xml,100.0,100,1.0,Completed,Town11,20,173.1,360,131.7,0.028
rung3_recipe,none,0,26418.xml,6.227294,47.0,0.132496,Failed - Agent got blocked,Town11,14,490.0,1884,84.9,0.752
ref0,none,0,26418.xml,100.0,100,1.0,Completed,Town11,20,162.7,376,131.4,0.027
post31,none,0,26458.xml,52.2,52.2,1.0,Failed - Agent deviated from the route,Town07,10,135.5,236,68.2,0.043
rung2a_recipe,none,0,26458.xml,52.2,52.2,1.0,Failed - Agent deviated from the route,Town07,10,142.7,296,67.7,0.18
rung2ad_recipe,none,0,26458.xml,52.2,52.2,1.0,Failed - Agent deviated from the route,Town07,10,142.2,287,67.5,0.185
rung3_recipe,none,0,26458.xml,52.2,52.2,1.0,Failed - Agent deviated from the route,Town07,10,141.6,281,67.7,0.189
ref0,none,0,26458.xml,100.0,100,1.0,Completed,Town07,20,169.4,374,77.3,0.172
post31,none,0,26944.xml,26.113705,56.72,0.460397,Failed - Agent got blocked,Town04,13,548.0,1497,74.0,0.809
rung2a_recipe,none,0,26944.xml,11.734272,50.93,0.2304,Failed - Agent deviated from the route,Town04,13,178.4,356,92.9,0.042
rung2ad_recipe,none,0,26944.xml,25.0032,52.09,0.48,Failed - Agent deviated from the route,Town04,11,169.1,324,94.9,0.034
rung3_recipe,none,0,26944.xml,30.558,50.93,0.6,Failed - Agent deviated from the route,Town04,10,198.2,402,97.4,0.142
